Latitude,Longitude
30.369534,-91.123687
30.374827,-91.119351
30.378539,-91.139081
30.37971,-91.116295
30.380421,-91.128363
30.385602,-91.108784
30.390898,-91.173724
30.391378,-91.174077
30.391381,-91.17408
30.392123,-91.161525
30.392585,-91.174969
30.392585,-91.174969
30.392995,-91.163971
30.394592,-91.109028
30.394592,-91.109028
30.395163,-91.161412
30.395163,-91.161412
30.395905,-91.162388
30.396266,-91.177666
30.396266,-91.177666
30.396266,-91.177666
30.396322,-91.178968
30.398377,-91.179227
30.399527,-91.176486
30.39999,-91.174203
30.39999,-91.174203
30.40014,-91.175852
30.401293,-91.11183
30.401318,-91.111528
30.401418,-91.105653
30.401538,-91.105578
30.401582,-91.181585
30.401969,-91.176404
30.402126,-91.181986
30.402284,-91.106997
30.402608,-91.17763
30.402651,-91.182375
30.40315,-91.180741
30.403349,-91.104428
30.403349,-91.104428
30.405161,-91.102118
30.410097,-91.043815
30.410656,-91.040049
30.411035,-91.053101
30.412193,-91.152769
30.412404,-91.176205
30.415646,-91.14132
30.416371,-91.16102
30.416371,-91.16102
30.416706,-91.069364
30.418207,-91.176576
30.418207,-91.176576
30.419441,-91.125644
30.421503,-91.153852
30.421799,-91.178198
30.421902,-91.140056
30.421902,-91.140056
30.422449,-91.178505
30.422945,-91.176669
30.42366,-91.184673
30.42423,-91.138929
30.424906,-91.131862
30.425175,-91.158639
30.425229,-91.179786
30.42588,-91.174462
30.42706,-91.17602
30.427322,-91.051405
30.427391,-91.15873
30.427667,-91.077921
30.42801,-91.107847
30.431283,-91.171399
30.431284,-91.080339
30.431809,-91.007534
30.434035,-91.045716
30.434414,-91.082762
30.434468,-91.082801
30.434642,-91.065738
30.434895,-91.189493
30.435289,-91.171043
30.435695,-91.168704
30.435905,-91.179886
30.436102,-91.180016
30.436455,-91.0457
30.437207,-91.182326
30.437461,-91.173565
30.441229,-91.087623
30.441971,-91.180337
30.442703,-91.098203
30.442788,-91.188346
30.442971,-91.088863
30.443733,-91.172052
30.44375,-91.171359
30.444119,-91.156635
30.444265,-91.1506
30.444389,-91.145369
30.444546,-91.139417
30.444594,-91.136053
30.444782,-91.170077
30.445185,-91.180327
30.44573,-91.1901
30.446591,-91.151855
30.446591,-91.151855
30.447971,-91.092646
30.448213,-91.189178
30.448241,-91.188197
30.448273,-91.187011
30.448299,-91.152135
30.44893,-91.165182
30.449024,-91.162387
30.449056,-91.034872
30.449178,-91.081608
30.449273,-91.190404
30.449292,-91.189445
30.449314,-91.188071
30.449365,-91.185834
30.449429,-91.183826
30.449603,-91.138954
30.449647,-91.127382
30.449701,-91.174786
30.449744,-91.032593
30.450104,-91.161846
30.450127,-91.161084
30.450132,-91.16092
30.450222,-91.158154
30.450592,-91.146369
30.450609,-91.136034
30.451472,-91.186811
30.451505,-91.185693
30.451638,-91.181017
30.451663,-91.127403
30.45231,-91.159061
30.45243,-91.190428
30.452452,-91.18957
30.452572,-91.185414
30.453381,-91.158325
30.453402,-91.157303
30.453402,-91.157303
30.45344,-91.155575
30.45367,-91.03641
30.453772,-91.144116
30.453843,-91.142844
30.453859,-91.118432
30.45406,-91.159499
30.454214,-91.166041
30.455055,-91.118483
30.455907,-91.158056
30.455938,-91.123293
30.456007,-91.121014
30.456882,-91.151941
30.457017,-91.121202
30.457221,-91.099032
30.457348,-91.153498
30.457423,-91.099039
30.458679,-91.057742
30.459587,-91.072057
30.459711,-91.143509
30.459844,-91.096015
30.46015,-91.127722
30.460401,-91.046872
30.460555,-91.090797
30.460813,-91.058116
30.461249,-91.092159
30.461249,-91.092159
30.461392,-91.156607
30.461401,-91.142065
30.461566,-91.165054
30.46183,-91.154503
30.462157,-91.142869
30.462372,-91.102571
30.462552,-91.138684
30.462598,-91.043162
30.46278,-91.165109
30.463044,-91.172329
30.463124,-91.053197
30.463191,-91.059444
30.464111,-91.171316
30.464474,-91.167847
30.464886,-91.170387
30.465237,-91.134334
30.465241,-91.139673
30.465699,-91.083235
30.465708,-91.160679
30.465839,-91.064273
30.466,-91.106082
30.466356,-91.105412
30.466583,-91.131922
30.466605,-91.129529
30.466698,-91.053413
30.467191,-91.074529
30.467228,-91.130714
30.467394,-91.168948
30.467584,-91.165125
30.467688,-91.1417
30.467779,-91.13839
30.46855,-91.140059
30.468566,-91.120685
30.468638,-91.137178
30.46973,-91.147022
30.469842,-91.168168
30.469842,-91.168168
30.469844,-91.067918
30.469864,-91.108066
30.470184,-91.155473
30.470269,-91.152475
30.470455,-91.145758
30.471303,-91.168251
