LATITUDE,LONGITUDE
40.6498688,-73.9340839
40.7578474,-73.8992132
40.6108455,-73.9917667
40.7587426,-73.8906895
40.8616372,-73.8243256
40.835397,-73.920305
40.670701,-73.7736537
40.6647479,-73.7400181
40.7146779,-74.005887
40.7595273,-73.999242
40.6810466,-73.8493003
40.7319824,-73.9819663
40.6701181,-73.9224672
40.6524254,-73.8382001
40.7559235,-73.9748888
40.6818517,-73.9800365
40.6417459,-74.0138151
40.5336039,-74.2242513
40.7208537,-74.0039287
40.7362448,-73.7029656
40.7589756,-73.9645027
40.6963077,-73.8515486
40.7621266,-73.9973865
40.8918398,-73.8627401
40.747067,-73.9792374
40.6753803,-73.9081956
40.5888678,-73.9727446
40.7047985,-74.0166846
40.7204773,-73.9897185
40.6720753,-73.9113364
40.6038728,-73.9360956
40.6892183,-73.9176492
40.6262181,-74.1578241
40.7441309,-73.9270473
40.6337945,-74.0113274
40.6924673,-73.8108147
40.7233651,-73.9957032
40.7606005,-73.9643142
40.695417,-73.908049
40.7849752,-73.982638
40.6088981,-74.0346399
40.7620943,-73.7569053
40.6652772,-73.8295439
40.7466595,-73.9900681
40.7476892,-74.0041684
40.7786073,-73.9816215
40.7131354,-74.0040581
40.8147743,-73.9403692
40.6977532,-73.8139159
40.7118008,-73.9422288
40.7594056,-73.9851029
40.8287288,-73.9147231
40.5770188,-73.9641927
40.6774056,-73.9830482
40.7505908,-73.7781175
40.7537307,-73.8850382
40.722355,-73.9932609
40.8315678,-73.9429813
40.7180039,-73.986584
40.8418183,-73.9224369
40.7970973,-73.9497466
40.6945453,-73.802112
40.8016648,-73.9132226
40.7153567,-73.9780389
40.6368184,-74.1579392
40.5789366,-73.9852115
40.8626793,-73.9090397
40.7652424,-73.9578679
40.6697798,-73.9582923
40.758537,-73.9772016
40.7089912,-73.9097003
40.7667789,-73.9967618
40.7902528,-73.9456349
40.7118601,-73.7355383
40.6580304,-73.947433
40.6831329,-73.882582
40.7535514,-73.8526662
40.6799371,-73.7763624
40.7409424,-74.0074808
40.6347476,-74.1122528
40.5861184,-73.9360334
40.5868757,-73.9569723
40.5761593,-73.9890171
40.7535645,-73.8706949
40.633745,-73.9722831
40.5373316,-74.1891267
40.7438656,-73.8256791
40.7514411,-73.9739594
40.6915381,-73.99911
40.7555451,-73.7388336
